Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 109.156 (49); 115.451 (51); 224.607
10-19; 167.242 (50); 167.009 (50); 334.251
20-29; 138.873 (51); 131.749 (49); 270.622
30-39; 135.370 (53); 119.949 (47); 255.319
40-49; 131.133 (53); 116.567 (47); 247.700
50-59;  89.877 (51);  87.809 (49); 177.686
60-69;  45.101 (50);  44.999 (50);  90.100
70-79;  22.903 (50);  23.313 (50);  46.216
80-89;   9.284 (55);   7.541 (45);  16.825
90+;   3.043 (69);   1.362 (31);   4.405
I alt; 851.997 (51); 815.770 (49);1.667.768
