Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.082 (48);  14.989 (52);  29.071
10-19;  30.443 (49);  31.551 (51);  61.994
20-29;  37.673 (49);  39.476 (51);  77.149
30-39;  25.307 (50);  25.288 (50);  50.595
40-49;  26.111 (53);  23.445 (47);  49.556
50-59;  22.446 (51);  21.872 (49);  44.318
60-69;  11.090 (48);  11.782 (52);  22.872
70-79;   6.559 (49);   6.710 (51);  13.269
80-89;   3.743 (57);   2.786 (43);   6.529
90+;   1.424 (71);     593 (29);   2.017
I alt; 178.878 (50); 178.492 (50); 357.370
