Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.601.524; 139.777;   7.706;   1.346
Sjælland; 670.969;  39.652;   2.659;     406
Syddanmark; 999.876;  41.316;   1.863;     223
Midtjylland;1.092.330;  51.909;   2.298;     359
Nordjylland; 507.051;  21.953;   1.016;     191
