Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.606.281; 142.282;   7.747;   1.347
Sjælland; 672.842;  40.041;   2.666;     406
Syddanmark;1.003.317;  41.886;   1.867;     223
Midtjylland;1.096.279;  52.970;   2.316;     359
Nordjylland; 507.938;  22.179;   1.017;     191
