Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.621.122; 152.673;   7.960;   1.352
Sjælland; 679.218;  42.154;   2.725;     406
Syddanmark;1.013.279;  45.488;   1.941;     227
Midtjylland;1.107.855;  58.888;   2.405;     364
Nordjylland; 511.383;  24.530;   1.032;     191
