Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 158.228 (49); 167.572 (51); 325.800
10-19; 240.752 (50); 240.381 (50); 481.133
20-29; 225.695 (53); 203.085 (47); 428.780
30-39; 222.204 (53); 195.325 (47); 417.529
40-49; 217.964 (53); 190.524 (47); 408.488
50-59; 176.036 (52); 161.120 (48); 337.156
60-69; 105.485 (52);  98.297 (48); 203.782
70-79;  58.886 (50);  58.747 (50); 117.633
80-89;  21.502 (53);  18.776 (47);  40.278
90+;   6.417 (69);   2.840 (31);   9.257
I alt;1.433.187 (52);1.336.693 (48);2.769.881
