Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.605.503; 141.656;   7.734;   1.347
Sjælland; 672.538;  39.944;   2.664;     406
Syddanmark;1.002.864;  41.737;   1.867;     223
Midtjylland;1.095.688;  52.701;   2.311;     359
Nordjylland; 507.814;  22.128;   1.017;     191
