Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.202 (48);  15.114 (52);  29.316
10-19;  30.606 (49);  31.676 (51);  62.282
20-29;  37.757 (49);  39.565 (51);  77.322
30-39;  25.412 (50);  25.397 (50);  50.809
40-49;  26.209 (53);  23.530 (47);  49.739
50-59;  22.518 (51);  21.940 (49);  44.458
60-69;  11.131 (49);  11.819 (51);  22.950
70-79;   6.601 (49);   6.742 (51);  13.343
80-89;   3.757 (57);   2.800 (43);   6.557
90+;   1.426 (71);     594 (29);   2.020
I alt; 179.619 (50); 179.177 (50); 358.796
