Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.607.030; 142.877;   7.752;   1.347
Sjælland; 673.156;  40.132;   2.669;     406
Syddanmark;1.003.757;  42.033;   1.868;     223
Midtjylland;1.096.822;  53.225;   2.321;     360
Nordjylland; 508.049;  22.226;   1.017;     191
