Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.596.353; 138.196;   7.686;   1.346
Sjælland; 668.934;  39.361;   2.653;     406
Syddanmark; 997.188;  40.916;   1.862;     223
Midtjylland;1.089.261;  51.351;   2.290;     358
Nordjylland; 506.138;  21.742;   1.013;     190
I alt i Danmark;4.857.874; 291.566;  15.504;   2.523
