Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 159.443 (49); 168.934 (51); 328.377
10-19; 243.280 (50); 242.898 (50); 486.178
20-29; 231.290 (53); 207.684 (47); 438.974
30-39; 227.507 (53); 200.292 (47); 427.799
40-49; 224.709 (53); 196.146 (47); 420.855
50-59; 186.308 (52); 169.588 (48); 355.896
60-69; 114.485 (52); 105.878 (48); 220.363
70-79;  66.226 (50);  65.565 (50); 131.791
80-89;  24.174 (53);  21.230 (47);  45.404
90+;   7.063 (69);   3.139 (31);  10.202
I alt;1.484.504 (52);1.381.380 (48);2.865.885
