Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 118.330 (49); 125.325 (51); 243.655
10-19; 181.044 (50); 181.444 (50); 362.488
20-29; 147.954 (52); 138.988 (48); 286.942
30-39; 147.616 (53); 129.786 (47); 277.402
40-49; 142.960 (53); 126.642 (47); 269.602
50-59;  97.867 (51);  94.753 (49); 192.620
60-69;  49.535 (50);  49.013 (50);  98.548
70-79;  24.957 (50);  25.321 (50);  50.278
80-89;   9.924 (55);   8.113 (45);  18.037
90+;   3.278 (69);   1.453 (31);   4.731
I alt; 923.480 (51); 880.859 (49);1.804.340
