Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  45.111 (49);  47.855 (51);  92.966
10-19;  75.064 (50);  73.664 (50); 148.728
20-29;  84.879 (50);  84.415 (50); 169.294
30-39;  64.427 (51);  61.336 (49); 125.763
40-49;  66.029 (52);  61.103 (48); 127.132
50-59;  52.731 (50);  53.431 (50); 106.162
60-69;  27.298 (49);  28.685 (51);  55.983
70-79;  15.737 (50);  15.827 (50);  31.564
80-89;   6.638 (55);   5.392 (45);  12.030
90+;   2.040 (69);     936 (31);   2.976
I alt; 439.954 (50); 432.644 (50); 872.598
