Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.624.901; 155.771;   8.055;   1.354
Sjælland; 681.071;  42.952;   2.746;     409
Syddanmark;1.016.284;  46.812;   1.981;     228
Midtjylland;1.111.542;  60.731;   2.446;     365
Nordjylland; 512.497;  25.289;   1.047;     192
