Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 38;1421476;109756;4333576;4295789;1312007;93325;4130588;4097113;1432;77;964;955;16;0;6;6;33;2;53;53
Uge 37;1431643;133313;4300528;4246623;1325011;114879;4103370;4054730;1293;74;781;771;17;0;11;10;38;5;44;44
Uge 36;1444554;168129;4253158;4155995;1340391;147408;4062571;3972917;1907;173;1101;1071;40;2;8;8;85;9;59;58
Uge 35;1464009;232488;4170469;3999293;1360895;208363;3988234;3827952;2661;272;1476;1420;56;5;16;14;125;13;47;45
Uge 34;1493728;340375;4033375;3771000;1390383;311728;3861944;3613833;3997;470;1699;1583;82;5;12;11;127;11;59;59
Uge 33;1531418;512434;3823927;3478808;1426663;476913;3665878;3339663;4461;665;1661;1437;101;2;11;9;150;13;58;57
Uge 32;1578032;803128;3487233;3243117;1472530;755166;3349262;3118945;4150;1077;1570;1243;102;3;14;11;118;29;37;34
Uge 31;1651778;1000050;3216908;2992064;1543475;943206;3094617;2881858;3613;1353;1324;1036;85;7;6;3;71;14;36;34
Uge 30;1766987;1128226;2974825;2697554;1653212;1065911;2865767;2602553;3053;1945;1199;856;75;10;12;10;68;21;23;22
Uge 29;1942339;1269703;2658282;2390867;1819980;1201174;2565228;2309967;2493;1946;805;586;45;8;4;3;66;11;18;17
Uge 28;2169543;1348679;2352517;2136148;2037033;1277946;2273451;2065958;3116;2804;856;597;56;18;15;13;68;15;17;17
Uge 27;2446390;1310285;2114228;1862559;2301671;1244832;2045123;1803750;2344;1791;444;350;49;10;6;6;41;11;8;6
Uge 26;2615995;1402892;1852996;1654552;2466233;1337143;1795030;1604202;1505;975;175;131;20;8;4;3;28;5;4;3
Uge 25;2838101;1380354;1653717;1493671;2682305;1319286;1603675;1448867;888;337;68;49;10;1;1;1;28;9;7;5
Uge 24;3141672;1225794;1504870;1366845;2976943;1175606;1459761;1325797;1259;292;83;57;15;5;2;2;42;7;9;7
Uge 23;3476258;1023968;1372191;1257643;3303222;985104;1331065;1220463;1814;292;68;46;30;3;6;5;17;5;4;4
