Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 158.629 (49); 168.060 (51); 326.689
10-19; 241.589 (50); 241.239 (50); 482.828
20-29; 227.353 (53); 204.534 (47); 431.887
30-39; 223.803 (53); 196.837 (47); 420.640
40-49; 219.802 (53); 192.116 (47); 411.918
50-59; 178.731 (52); 163.445 (48); 342.176
60-69; 107.768 (52); 100.296 (48); 208.064
70-79;  60.739 (50);  60.411 (50); 121.150
80-89;  22.152 (53);  19.345 (47);  41.497
90+;   6.603 (69);   2.923 (31);   9.526
I alt;1.447.187 (52);1.349.232 (48);2.796.420
