Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.631.240; 160.770;   8.217;   1.364
Sjælland; 683.972;  43.854;   2.792;     413
Syddanmark;1.021.014;  48.392;   2.029;     229
Midtjylland;1.116.452;  62.536;   2.498;     366
Nordjylland; 514.046;  25.980;   1.073;     193
