Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  30.590 (49);  32.312 (51);  62.902
10-19;  48.690 (50);  49.411 (50);  98.101
20-29;  51.315 (49);  52.515 (51); 103.830
30-39;  39.958 (51);  38.114 (49);  78.072
40-49;  42.152 (52);  38.654 (48);  80.806
50-59;  33.243 (50);  33.595 (50);  66.838
60-69;  18.104 (49);  18.812 (51);  36.916
70-79;  11.467 (50);  11.684 (50);  23.151
80-89;   5.091 (55);   4.085 (45);   9.176
90+;   1.657 (69);     739 (31);   2.396
I alt; 282.267 (50); 279.921 (50); 562.188
