Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  46.023 (48);  48.872 (52);  94.895
10-19;  77.904 (50);  76.442 (50); 154.346
20-29;  87.947 (50);  87.678 (50); 175.625
30-39;  66.019 (51);  63.033 (49); 129.052
40-49;  67.523 (52);  62.480 (48); 130.003
50-59;  53.781 (50);  54.501 (50); 108.282
60-69;  27.805 (49);  29.199 (51);  57.004
70-79;  15.999 (50);  16.087 (50);  32.086
80-89;   6.750 (55);   5.490 (45);  12.240
90+;   2.077 (68);     956 (32);   3.033
I alt; 451.828 (50); 444.738 (50); 896.566
