Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  40.135 (49);  42.434 (51);  82.569
10-19;  64.624 (50);  64.061 (50); 128.685
20-29;  70.359 (50);  70.334 (50); 140.693
30-39;  54.700 (51);  51.880 (49); 106.580
40-49;  57.384 (52);  53.148 (48); 110.532
50-59;  45.324 (49);  46.266 (51);  91.590
60-69;  23.520 (49);  24.844 (51);  48.364
70-79;  13.549 (50);  13.791 (50);  27.340
80-89;   5.775 (55);   4.687 (45);  10.462
90+;   1.837 (69);     834 (31);   2.671
I alt; 377.207 (50); 372.279 (50); 749.486
