Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.631.841; 161.241;   8.225;   1.366
Sjælland; 684.183;  43.926;   2.795;     413
Syddanmark;1.021.407;  48.511;   2.035;     230
Midtjylland;1.116.836;  62.666;   2.504;     367
Nordjylland; 514.185;  26.024;   1.077;     193
