Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 158.924 (49); 168.385 (51); 327.309
10-19; 242.171 (50); 241.807 (50); 483.978
20-29; 228.537 (53); 205.500 (47); 434.037
30-39; 224.934 (53); 197.878 (47); 422.812
40-49; 221.205 (53); 193.335 (47); 414.540
50-59; 180.948 (52); 165.256 (48); 346.204
60-69; 109.650 (52); 101.900 (48); 211.550
70-79;  62.284 (50);  61.909 (50); 124.193
80-89;  22.729 (53);  19.869 (47);  42.598
90+;   6.730 (69);   2.988 (31);   9.718
I alt;1.458.130 (52);1.358.853 (48);2.816.984
