Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.594.845; 137.713;   7.677;   1.344
Sjælland; 668.271;  39.256;   2.649;     406
Syddanmark; 996.433;  40.857;   1.860;     223
Midtjylland;1.088.425;  51.261;   2.288;     358
Nordjylland; 505.884;  21.688;   1.013;     190
I alt i Danmark;4.853.858; 290.775;  15.487;   2.521
