Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.612.598; 146.053;   7.808;   1.347
Sjælland; 675.461;  40.736;   2.685;     406
Syddanmark;1.007.422;  42.868;   1.887;     225
Midtjylland;1.101.338;  54.858;   2.338;     360
Nordjylland; 509.091;  22.591;   1.020;     191
