Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.637.481; 164.834;   8.394;   1.382
Sjælland; 687.477;  44.824;   2.830;     414
Syddanmark;1.025.600;  49.446;   2.060;     233
Midtjylland;1.120.865;  63.770;   2.560;     374
Nordjylland; 515.499;  26.367;   1.101;     195
