Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 133.773 (49); 141.413 (51); 275.186
10-19; 203.029 (50); 203.642 (50); 406.671
20-29; 167.184 (52); 153.671 (48); 320.855
30-39; 168.436 (53); 146.591 (47); 315.027
40-49; 162.883 (53); 143.091 (47); 305.974
50-59; 113.353 (51); 107.848 (49); 221.201
60-69;  58.792 (51);  57.210 (49); 116.002
70-79;  29.246 (50);  29.728 (50);  58.974
80-89;  11.292 (55);   9.356 (45);  20.648
90+;   3.738 (69);   1.672 (31);   5.410
I alt;1.051.742 (51); 994.245 (49);2.045.988
