Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  25.183 (49);  26.530 (51);  51.713
10-19;  43.046 (50);  43.666 (50);  86.712
20-29;  46.713 (49);  48.115 (51);  94.828
30-39;  35.400 (51);  34.028 (49);  69.428
40-49;  36.961 (52);  33.669 (48);  70.630
50-59;  29.764 (50);  29.556 (50);  59.320
60-69;  16.047 (49);  16.645 (51);  32.692
70-79;  10.369 (50);  10.539 (50);  20.908
80-89;   4.839 (56);   3.835 (44);   8.674
90+;   1.589 (69);     707 (31);   2.296
I alt; 249.911 (50); 247.290 (50); 497.201
