Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.617.837; 149.679;   7.880;   1.350
Sjælland; 677.634;  41.466;   2.707;     406
Syddanmark;1.010.993;  44.238;   1.913;     226
Midtjylland;1.105.149;  57.139;   2.370;     363
Nordjylland; 510.397;  23.670;   1.026;     191
