Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;5094;8;4;50;4;50;2;2;2;294
2021-02-02;4839;9;5;55,5555555555556;4;44,4444444444444;5;0;5;308
2021-02-03;5065;10;6;60;4;40;6;0;6;343
2021-02-04;4668;7;3;42,8571428571429;4;57,1428571428571;3;0;5;322
2021-02-05;4517;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2672;10;6;60;4;40;6;0;3;264
2021-02-07;3121;14;7;50;7;50;7;0;6;326
2021-02-08;7280;13;7;53,8461538461539;6;46,1538461538462;6;1;5;439
2021-02-09;6364;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7362;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;9501;13;7;53,8461538461539;6;46,1538461538462;6;1;3;537
2021-02-12;9498;9;4;44,4444444444444;5;55,5555555555556;3;1;4;477
2021-02-13;4966;15;8;53,3333333333333;7;46,6666666666667;7;1;6;339
2021-02-14;4953;20;10;50;10;50;7;3;9;435
2021-02-15;17778;49;24;48,9795918367347;25;51,0204081632653;17;7;25;1155
2021-02-16;17519;60;44;73,3333333333333;16;26,6666666666667;33;10;19;1340
2021-02-17;27000;86;53;61,6279069767442;33;38,3720930232558;44;9;20;2014
2021-02-18;30939;52;40;76,9230769230769;12;23,0769230769231;33;4;30;1803
2021-02-19;35199;88;54;61,3636363636364;34;38,6363636363636;42;12;37;1829
2021-02-20;22276;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1624
2021-02-21;20917;95;66;69,4736842105263;29;30,5263157894737;59;4;41;1693
2021-02-22;26746;101;75;74,2574257425743;26;25,7425742574258;54;19;27;1899
2021-02-23;30661;100;70;70;30;30;58;10;34;2049
2021-02-24;30820;93;57;61,2903225806452;36;38,7096774193548;43;12;33;2124
2021-02-25;29473;91;53;58,2417582417583;38;41,7582417582418;44;9;20;1636
2021-02-26;37590;116;70;60,3448275862069;46;39,6551724137931;54;16;41;1827
2021-02-27;23287;92;68;73,9130434782609;24;26,0869565217391;58;9;17;1560
2021-02-28;25234;112;83;74,1071428571429;29;25,8928571428572;65;18;29;1974
2021-03-01;36825;96;72;75;24;25;51;19;17;2210
2021-03-02;39768;112;88;78,5714285714286;24;21,4285714285714;61;25;25;2085
2021-03-03;45875;108;74;68,5185185185185;34;31,4814814814815;37;37;43;3343
2021-03-04;58161;179;147;82,122905027933;32;17,877094972067;48;95;31;3613
2021-03-05;66755;170;133;78,2352941176471;37;21,7647058823529;44;88;55;4113
2021-03-06;39786;133;102;76,6917293233083;31;23,3082706766917;51;51;59;3059
2021-03-07;41750;205;167;81,4634146341463;38;18,5365853658537;58;105;62;3522
2021-03-08;66555;235;201;85,531914893617;34;14,468085106383;79;122;79;3934
2021-03-09;64937;192;169;88,0208333333333;23;11,9791666666667;62;106;65;3417
2021-03-10;60259;237;199;83,9662447257384;38;16,0337552742616;78;121;66;3852
2021-03-11;61064;171;148;86,5497076023392;23;13,4502923976608;51;97;43;3538
2021-03-12;62436;171;131;76,6081871345029;40;23,3918128654971;35;96;31;2976
2021-03-13;57864;155;119;76,7741935483871;36;23,2258064516129;56;60;64;3355
2021-03-14;75876;179;146;81,5642458100559;33;18,4357541899441;50;95;83;4151
2021-03-15;115068;264;226;85,6060606060606;38;14,3939393939394;107;114;105;5682
2021-03-16;121146;271;225;83,0258302583026;46;16,9741697416974;107;118;107;5334
2021-03-17;107613;200;156;78;44;22;84;66;105;5795
2021-03-18;128620;225;178;79,1111111111111;47;20,8888888888889;120;56;103;6228
2021-03-19;94643;149;125;83,8926174496644;24;16,1073825503356;77;45;71;4220
2021-03-20;59174;137;116;84,6715328467153;21;15,3284671532847;81;33;94;3628
2021-03-21;93326;210;174;82,8571428571429;36;17,1428571428571;120;53;126;5425
