Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  86.962 (49);  92.316 (51); 179.278
10-19; 134.995 (50); 134.007 (50); 269.002
20-29; 121.603 (51); 117.456 (49); 239.059
30-39; 109.739 (52);  99.422 (48); 209.161
40-49; 105.680 (53);  95.010 (47); 200.690
50-59;  75.459 (50);  74.482 (50); 149.941
60-69;  37.535 (50);  38.223 (50);  75.758
70-79;  19.787 (50);  20.052 (50);  39.839
80-89;   8.244 (55);   6.636 (45);  14.880
90+;   2.657 (69);   1.209 (31);   3.866
I alt; 702.676 (51); 678.834 (49);1.381.511
