Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.623.799; 154.980;   8.029;   1.354
Sjælland; 680.446;  42.741;   2.739;     409
Syddanmark;1.015.202;  46.403;   1.969;     228
Midtjylland;1.110.406;  60.203;   2.438;     365
Nordjylland; 512.185;  25.080;   1.044;     192
