Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  24.790 (49);  26.137 (51);  50.927
10-19;  42.590 (50);  43.246 (50);  85.836
20-29;  46.428 (49);  47.862 (51);  94.290
30-39;  35.073 (51);  33.712 (49);  68.785
40-49;  36.630 (52);  33.299 (48);  69.929
50-59;  29.540 (50);  29.243 (50);  58.783
60-69;  15.896 (49);  16.463 (51);  32.359
70-79;  10.249 (50);  10.442 (50);  20.691
80-89;   4.816 (56);   3.814 (44);   8.630
90+;   1.587 (69);     704 (31);   2.291
I alt; 247.599 (50); 244.922 (50); 492.521
