Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.636.578; 164.310;   8.374;   1.378
Sjælland; 686.844;  44.636;   2.821;     414
Syddanmark;1.024.912;  49.310;   2.056;     232
Midtjylland;1.120.158;  63.592;   2.551;     373
Nordjylland; 515.289;  26.320;   1.100;     195
