Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  36.745 (49);  38.816 (51);  75.561
10-19;  57.942 (50);  57.908 (50); 115.850
20-29;  61.447 (50);  61.997 (50); 123.444
30-39;  47.721 (51);  45.377 (49);  93.098
40-49;  50.419 (52);  46.689 (48);  97.108
50-59;  39.458 (50);  40.131 (50);  79.589
60-69;  20.914 (49);  22.071 (51);  42.985
70-79;  12.509 (50);  12.701 (50);  25.210
80-89;   5.392 (55);   4.389 (45);   9.781
90+;   1.725 (69);     791 (31);   2.516
I alt; 334.272 (50); 330.870 (50); 665.142
