Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.610.758; 144.978;   7.789;   1.347
Sjælland; 674.700;  40.539;   2.678;     406
Syddanmark;1.006.366;  42.565;   1.880;     225
Midtjylland;1.100.015;  54.245;   2.328;     360
Nordjylland; 508.791;  22.438;   1.020;     191
