Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  22.605 (49);  23.822 (51);  46.427
10-19;  40.230 (50);  40.991 (50);  81.221
20-29;  44.912 (49);  46.384 (51);  91.296
30-39;  33.240 (51);  32.187 (49);  65.427
40-49;  34.631 (52);  31.399 (48);  66.030
50-59;  28.194 (50);  27.759 (50);  55.953
60-69;  14.987 (49);  15.572 (51);  30.559
70-79;   9.565 (49);   9.769 (51);  19.334
80-89;   4.657 (56);   3.656 (44);   8.313
90+;   1.566 (69);     691 (31);   2.257
I alt; 234.587 (50); 232.230 (50); 466.817
