Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.628.297; 158.591;   8.147;   1.358
Sjælland; 682.600;  43.450;   2.771;     413
Syddanmark;1.018.678;  47.715;   2.009;     228
Midtjylland;1.114.339;  61.792;   2.479;     366
Nordjylland; 513.324;  25.733;   1.062;     192
