Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 153.180 (49); 162.278 (51); 315.458
10-19; 233.162 (50); 233.044 (50); 466.206
20-29; 212.290 (53); 191.903 (47); 404.193
30-39; 208.943 (53); 183.292 (47); 392.235
40-49; 203.102 (53); 178.111 (47); 381.213
50-59; 155.535 (52); 144.191 (48); 299.726
60-69;  88.480 (51);  83.444 (49); 171.924
70-79;  46.686 (50);  47.146 (50);  93.832
80-89;  17.188 (54);  14.835 (46);  32.023
90+;   5.320 (69);   2.352 (31);   7.672
I alt;1.323.904 (52);1.240.621 (48);2.564.526
