Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.487 (49);  15.367 (51);  29.854
10-19;  30.919 (49);  32.020 (51);  62.939
20-29;  37.974 (49);  39.777 (51);  77.751
30-39;  25.665 (50);  25.629 (50);  51.294
40-49;  26.441 (53);  23.750 (47);  50.191
50-59;  22.677 (51);  22.103 (49);  44.780
60-69;  11.231 (49);  11.920 (51);  23.151
70-79;   6.665 (49);   6.802 (51);  13.467
80-89;   3.794 (57);   2.823 (43);   6.617
90+;   1.430 (71);     594 (29);   2.024
I alt; 181.283 (50); 180.785 (50); 362.068
