Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  19.929 (49);  21.085 (51);  41.014
10-19;  37.377 (49);  38.230 (51);  75.607
20-29;  42.970 (49);  44.449 (51);  87.419
30-39;  30.946 (51);  30.119 (49);  61.065
40-49;  32.133 (53);  29.015 (47);  61.148
50-59;  26.489 (50);  26.031 (50);  52.520
60-69;  13.859 (49);  14.431 (51);  28.290
70-79;   8.737 (49);   8.922 (51);  17.659
80-89;   4.441 (56);   3.440 (44);   7.881
90+;   1.532 (70);     663 (30);   2.195
I alt; 218.413 (50); 216.385 (50); 434.798
