Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.625.377; 156.104;   8.068;   1.355
Sjælland; 681.312;  43.024;   2.755;     409
Syddanmark;1.016.793;  46.999;   1.986;     228
Midtjylland;1.112.015;  60.960;   2.452;     365
Nordjylland; 512.637;  25.386;   1.051;     192
