Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.635.626; 163.737;   8.349;   1.374
Sjælland; 686.191;  44.453;   2.815;     414
Syddanmark;1.024.226;  49.165;   2.051;     231
Midtjylland;1.119.545;  63.404;   2.538;     370
Nordjylland; 515.089;  26.272;   1.097;     194
