Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 138.054 (49); 146.066 (51); 284.120
10-19; 210.534 (50); 210.697 (50); 421.231
20-29; 177.203 (52); 162.160 (48); 339.363
30-39; 176.358 (53); 153.653 (47); 330.011
40-49; 170.207 (53); 149.467 (47); 319.674
50-59; 119.532 (51); 113.376 (49); 232.908
60-69;  62.778 (51);  60.891 (49); 123.669
70-79;  31.241 (50);  31.871 (50);  63.112
80-89;  11.944 (54);   9.984 (46);  21.928
90+;   3.921 (69);   1.754 (31);   5.675
I alt;1.101.788 (51);1.039.943 (49);2.141.732
