Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.618.627; 150.381;   7.896;   1.351
Sjælland; 678.067;  41.635;   2.717;     406
Syddanmark;1.011.511;  44.526;   1.914;     227
Midtjylland;1.105.700;  57.618;   2.372;     363
Nordjylland; 510.628;  23.877;   1.027;     191
