Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 146.162 (49); 154.582 (51); 300.744
10-19; 221.963 (50); 222.270 (50); 444.233
20-29; 193.670 (52); 176.094 (48); 369.764
30-39; 191.533 (53); 167.325 (47); 358.858
40-49; 184.774 (53); 162.063 (47); 346.837
50-59; 134.381 (52); 125.922 (48); 260.303
60-69;  72.793 (51);  69.820 (49); 142.613
70-79;  36.672 (50);  37.375 (50);  74.047
80-89;  13.741 (54);  11.616 (46);  25.357
90+;   4.421 (69);   1.950 (31);   6.371
I alt;1.200.127 (52);1.129.041 (48);2.329.169
