Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.632.891; 162.017;   8.257;   1.366
Sjælland; 684.784;  44.078;   2.800;     413
Syddanmark;1.022.209;  48.760;   2.040;     230
Midtjylland;1.117.610;  62.898;   2.513;     367
Nordjylland; 514.485;  26.119;   1.081;     193
