Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  94.580 (49); 100.146 (51); 194.726
10-19; 145.331 (50); 144.441 (50); 289.772
20-29; 126.645 (51); 121.543 (49); 248.188
30-39; 117.609 (53); 105.733 (47); 223.342
40-49; 113.385 (53); 101.453 (47); 214.838
50-59;  79.524 (50);  78.318 (50); 157.842
60-69;  39.558 (50);  39.997 (50);  79.555
70-79;  20.520 (50);  20.859 (50);  41.379
80-89;   8.472 (55);   6.833 (45);  15.305
90+;   2.746 (69);   1.234 (31);   3.980
I alt; 748.385 (51); 720.578 (49);1.468.964
