Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.636.002; 164.024;   8.363;   1.375
Sjælland; 686.477;  44.550;   2.817;     414
Syddanmark;1.024.581;  49.256;   2.053;     232
Midtjylland;1.119.830;  63.498;   2.546;     372
Nordjylland; 515.191;  26.292;   1.099;     195
