Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.615.067; 147.695;   7.841;   1.349
Sjælland; 676.484;  41.057;   2.694;     406
Syddanmark;1.009.159;  43.446;   1.898;     226
Midtjylland;1.103.336;  55.932;   2.354;     361
Nordjylland; 509.610;  22.949;   1.023;     191
