Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.617.461; 149.368;   7.878;   1.350
Sjælland; 677.493;  41.396;   2.703;     406
Syddanmark;1.010.708;  44.105;   1.907;     226
Midtjylland;1.104.933;  56.955;   2.366;     363
Nordjylland; 510.270;  23.568;   1.026;     191
