Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.620.665; 152.211;   7.948;   1.352
Sjælland; 679.025;  42.037;   2.723;     406
Syddanmark;1.012.928;  45.313;   1.937;     227
Midtjylland;1.107.462;  58.615;   2.391;     364
Nordjylland; 511.267;  24.400;   1.030;     191
