Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.594.126; 137.503;   7.675;   1.344
Sjælland; 667.971;  39.235;   2.649;     406
Syddanmark; 996.057;  40.837;   1.860;     223
Midtjylland;1.088.069;  51.221;   2.288;     358
Nordjylland; 505.712;  21.646;   1.013;     190
I alt i Danmark;4.851.935; 290.442;  15.485;   2.521
