Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.531 (49);  15.422 (51);  29.953
10-19;  30.995 (49);  32.085 (51);  63.080
20-29;  38.021 (49);  39.820 (51);  77.841
30-39;  25.712 (50);  25.676 (50);  51.388
40-49;  26.495 (53);  23.802 (47);  50.297
50-59;  22.706 (51);  22.131 (49);  44.837
60-69;  11.247 (49);  11.937 (51);  23.184
70-79;   6.677 (49);   6.825 (51);  13.502
80-89;   3.800 (57);   2.828 (43);   6.628
90+;   1.433 (71);     595 (29);   2.028
I alt; 181.617 (50); 181.121 (50); 362.738
