Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 120.697 (49); 127.824 (51); 248.521
10-19; 184.489 (50); 184.992 (50); 369.481
20-29; 150.502 (52); 141.081 (48); 291.583
30-39; 151.063 (53); 132.583 (47); 283.646
40-49; 146.271 (53); 129.408 (47); 275.679
50-59; 100.346 (51);  96.835 (49); 197.181
60-69;  50.936 (50);  50.275 (50); 101.211
70-79;  25.649 (50);  26.026 (50);  51.675
80-89;  10.129 (55);   8.295 (45);  18.424
90+;   3.354 (69);   1.484 (31);   4.838
I alt; 943.451 (51); 898.826 (49);1.842.278
