Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.742 (49);  15.604 (51);  30.346
10-19;  31.238 (49);  32.287 (51);  63.525
20-29;  38.173 (49);  39.965 (51);  78.138
30-39;  25.881 (50);  25.820 (50);  51.701
40-49;  26.676 (53);  23.968 (47);  50.644
50-59;  22.821 (51);  22.228 (49);  45.049
60-69;  11.324 (49);  12.019 (51);  23.343
70-79;   6.723 (49);   6.885 (51);  13.608
80-89;   3.822 (57);   2.842 (43);   6.664
90+;   1.436 (71);     597 (29);   2.033
I alt; 182.836 (50); 182.215 (50); 365.051
