Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 165.718 (49); 175.730 (51); 341.448
10-19; 259.450 (50); 257.375 (50); 516.825
20-29; 251.192 (53); 224.460 (47); 475.652
30-39; 242.895 (53); 212.041 (47); 454.936
40-49; 238.459 (54); 205.734 (46); 444.193
50-59; 195.812 (53); 176.961 (47); 372.773
60-69; 119.081 (52); 109.736 (48); 228.817
70-79;  68.707 (50);  67.902 (50); 136.609
80-89;  25.166 (53);  22.079 (47);  47.245
90+;   7.407 (69);   3.273 (31);  10.680
I alt;1.573.911 (52);1.455.316 (48);3.029.228
