Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.600.721; 139.462;   7.703;   1.346
Sjælland; 670.642;  39.595;   2.657;     406
Syddanmark; 999.386;  41.215;   1.862;     223
Midtjylland;1.091.852;  51.767;   2.297;     359
Nordjylland; 506.897;  21.916;   1.015;     191
