Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-05-10;498402;481;454;94,3866943866944;27;5,61330561330561;285;163;432;30415
2021-05-11;398603;495;453;91,5151515151515;42;8,48484848484849;305;141;337;26633
2021-05-12;431095;527;492;93,3586337760911;35;6,64136622390892;308;175;284;27924
2021-05-13;299906;401;364;90,7730673316708;37;9,22693266832918;210;147;189;17222
2021-05-14;328770;406;371;91,3793103448276;35;8,62068965517242;219;148;244;18777
2021-05-15;267887;348;305;87,6436781609195;43;12,3563218390805;187;115;233;18254
2021-05-16;310415;422;383;90,7582938388626;39;9,24170616113744;262;115;276;19958
2021-05-17;502678;500;473;94,6;27;5,4;283;178;414;27295
2021-05-18;399157;437;411;94,0503432494279;26;5,94965675057208;257;146;336;22920
2021-05-19;396780;404;365;90,3465346534654;39;9,65346534653465;246;111;290;25086
2021-05-20;492837;494;455;92,1052631578947;39;7,89473684210526;280;170;279;26799
2021-05-21;474307;422;393;93,1279620853081;29;6,87203791469194;218;167;246;24323
2021-05-22;267837;316;297;93,9873417721519;19;6,0126582278481;188;106;189;14821
2021-05-23;255345;264;251;95,0757575757576;13;4,92424242424242;168;80;231;17032
2021-05-24;337754;345;318;92,1739130434783;27;7,82608695652174;197;113;356;21109
2021-05-25;501469;511;477;93,3463796477495;34;6,65362035225049;303;169;456;27780
2021-05-26;362780;441;415;94,1043083900227;26;5,89569160997732;254;157;358;23193
2021-05-27;484097;493;460;93,3062880324544;33;6,69371196754564;263;192;264;24569
2021-05-28;496498;438;406;92,6940639269406;32;7,30593607305936;227;173;303;22537
2021-05-29;225515;322;293;90,9937888198758;29;9,00621118012422;190;99;231;13356
2021-05-30;263430;360;336;93,3333333333333;24;6,66666666666667;236;94;286;15856
2021-05-31;485213;520;489;94,0384615384615;31;5,96153846153846;298;179;399;24867
2021-06-01;374198;414;381;92,0289855072464;33;7,97101449275362;254;122;313;21780
2021-06-02;351427;407;378;92,8746928746929;29;7,12530712530713;239;132;240;22058
2021-06-03;458717;411;373;90,7542579075426;38;9,24574209245742;239;130;183;22090
2021-06-04;438637;405;370;91,358024691358;35;8,64197530864198;208;153;191;18944
2021-06-05;215520;272;244;89,7058823529412;28;10,2941176470588;154;87;137;11608
2021-06-06;248181;294;276;93,8775510204082;18;6,12244897959184;184;88;143;13378
2021-06-07;442330;354;324;91,5254237288136;30;8,47457627118644;182;137;174;18595
2021-06-08;343473;291;265;91,0652920962199;26;8,93470790378007;149;114;147;16160
2021-06-09;312455;289;266;92,0415224913495;23;7,95847750865052;144;119;94;15067
2021-06-10;413906;257;233;90,6614785992218;24;9,33852140077821;110;117;85;14504
2021-06-11;406376;254;220;86,6141732283465;34;13,3858267716535;106;113;78;13389
2021-06-12;208494;142;129;90,8450704225352;13;9,15492957746479;60;69;34;8169
2021-06-13;220220;157;146;92,9936305732484;11;7,00636942675159;75;69;61;9211
2021-06-14;388367;228;211;92,5438596491228;17;7,45614035087719;103;106;89;13259
2021-06-15;312803;191;179;93,717277486911;12;6,28272251308901;84;93;88;11670
2021-06-16;286759;197;177;89,8477157360406;20;10,1522842639594;76;100;71;11106
2021-06-17;349452;146;131;89,7260273972603;15;10,2739726027397;64;66;51;10868
2021-06-18;340239;165;155;93,9393939393939;10;6,06060606060606;64;90;49;10618
2021-06-19;180060;118;106;89,8305084745763;12;10,1694915254237;56;47;47;6659
2021-06-20;219483;144;135;93,75;9;6,25;61;73;53;7963
2021-06-21;379136;175;165;94,2857142857143;10;5,71428571428571;74;88;75;12431
2021-06-22;263258;158;148;93,6708860759494;10;6,32911392405063;58;89;57;10994
2021-06-23;81517;57;55;96,4912280701754;2;3,50877192982456;22;32;21;4439
2021-06-24;319854;155;149;96,1290322580645;6;3,87096774193548;79;68;72;13476
2021-06-25;302155;134;115;85,8208955223881;19;14,1791044776119;49;63;49;11902
2021-06-26;172875;99;91;91,9191919191919;8;8,08080808080808;49;41;66;8321
2021-06-27;163584;103;97;94,1747572815534;6;5,8252427184466;50;47;75;8616
2021-06-28;219930;161;151;93,7888198757764;10;6,2111801242236;94;56;172;12353
2021-06-29;181191;183;176;96,1748633879781;7;3,82513661202186;119;56;209;14269
2021-06-30;196020;208;197;94,7115384615384;11;5,28846153846154;145;51;142;17092
2021-07-01;215867;171;162;94,7368421052632;9;5,26315789473684;112;50;104;16356
2021-07-02;231688;213;193;90,6103286384977;20;9,38967136150235;130;59;135;16199
2021-07-03;167458;186;167;89,7849462365591;19;10,2150537634409;121;43;133;13543
