Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;5040;8;4;50;4;50;2;2;2;294
2021-02-02;4788;9;5;55,5555555555556;4;44,4444444444444;5;0;5;308
2021-02-03;5017;10;6;60;4;40;6;0;6;343
2021-02-04;4617;7;3;42,8571428571429;4;57,1428571428571;3;0;5;322
2021-02-05;4480;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2658;10;6;60;4;40;6;0;3;264
2021-02-07;3094;14;7;50;7;50;7;0;6;326
2021-02-08;7214;13;7;53,8461538461539;6;46,1538461538462;6;1;5;439
2021-02-09;6314;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7309;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;9419;13;7;53,8461538461539;6;46,1538461538462;6;1;3;537
2021-02-12;9432;9;4;44,4444444444444;5;55,5555555555556;3;1;4;477
2021-02-13;4939;15;8;53,3333333333333;7;46,6666666666667;7;1;6;339
2021-02-14;4901;20;10;50;10;50;7;3;9;435
2021-02-15;17616;48;24;50;24;50;17;7;25;1155
2021-02-16;17399;60;44;73,3333333333333;16;26,6666666666667;33;10;19;1340
2021-02-17;26792;86;53;61,6279069767442;33;38,3720930232558;44;9;20;2014
2021-02-18;30727;52;40;76,9230769230769;12;23,0769230769231;33;4;30;1803
2021-02-19;34926;86;54;62,7906976744186;32;37,2093023255814;42;12;37;1829
2021-02-20;22108;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1624
2021-02-21;20760;94;66;70,2127659574468;28;29,7872340425532;59;4;41;1693
2021-02-22;26526;101;75;74,2574257425743;26;25,7425742574258;54;19;27;1899
2021-02-23;30435;100;70;70;30;30;58;10;34;2049
2021-02-24;30572;93;57;61,2903225806452;36;38,7096774193548;43;12;33;2122
2021-02-25;29176;89;53;59,5505617977528;36;40,4494382022472;44;9;20;1636
2021-02-26;37301;114;70;61,4035087719298;44;38,5964912280702;54;16;41;1827
2021-02-27;23097;92;68;73,9130434782609;24;26,0869565217391;58;9;17;1560
2021-02-28;24996;112;83;74,1071428571429;29;25,8928571428572;65;18;29;1974
2021-03-01;36549;95;72;75,7894736842105;23;24,2105263157895;51;19;17;2210
2021-03-02;39464;112;88;78,5714285714286;24;21,4285714285714;61;25;25;2085
2021-03-03;45469;108;74;68,5185185185185;34;31,4814814814815;37;37;43;3343
2021-03-04;57773;178;147;82,5842696629213;31;17,4157303370787;48;95;31;3613
2021-03-05;66308;170;133;78,2352941176471;37;21,7647058823529;44;88;55;4113
2021-03-06;39376;133;102;76,6917293233083;31;23,3082706766917;51;51;59;3055
2021-03-07;41418;205;167;81,4634146341463;38;18,5365853658537;58;105;62;3522
2021-03-08;66127;235;201;85,531914893617;34;14,468085106383;79;122;79;3934
2021-03-09;64481;191;169;88,4816753926702;22;11,5183246073298;62;106;65;3417
2021-03-10;59742;237;199;83,9662447257384;38;16,0337552742616;78;121;66;3852
2021-03-11;60702;170;148;87,0588235294118;22;12,9411764705882;51;97;43;3538
2021-03-12;61993;171;131;76,6081871345029;40;23,3918128654971;35;96;31;2976
2021-03-13;57382;154;119;77,2727272727273;35;22,7272727272727;56;60;64;3355
2021-03-14;75105;178;146;82,0224719101124;32;17,9775280898876;50;95;83;4151
2021-03-15;114095;264;226;85,6060606060606;38;14,3939393939394;107;114;105;5682
2021-03-16;120073;270;225;83,3333333333333;45;16,6666666666667;107;118;107;5334
2021-03-17;106586;199;156;78,391959798995;43;21,608040201005;84;66;105;5794
2021-03-18;127622;224;178;79,4642857142857;46;20,5357142857143;120;56;103;6225
2021-03-19;93941;149;125;83,8926174496644;24;16,1073825503356;77;45;71;4220
2021-03-20;58675;137;116;84,6715328467153;21;15,3284671532847;81;33;94;3628
2021-03-21;92408;210;174;82,8571428571429;36;17,1428571428571;120;53;126;5425
2021-03-22;136912;238;194;81,5126050420168;44;18,4873949579832;121;69;135;6697
2021-03-23;141846;201;174;86,5671641791045;27;13,4328358208955;113;59;137;6503
2021-03-24;123723;199;160;80,4020100502513;39;19,5979899497487;111;46;140;6399
2021-03-25;148591;235;178;75,7446808510638;57;24,2553191489362;124;51;143;7163
2021-03-26;134428;179;145;81,0055865921788;34;18,9944134078212;98;44;125;6161
2021-03-27;67078;162;136;83,9506172839506;26;16,0493827160494;103;32;91;4332
2021-03-28;65091;159;132;83,0188679245283;27;16,9811320754717;97;33;106;4677
2021-03-29;107375;260;226;86,9230769230769;34;13,0769230769231;153;72;149;6731
2021-03-30;116495;244;202;82,7868852459016;42;17,2131147540984;142;57;126;6305
2021-03-31;95573;147;129;87,7551020408163;18;12,2448979591837;89;39;65;4682
2021-04-01;104114;206;179;86,8932038834952;27;13,1067961165049;120;55;127;6198
2021-04-02;97576;201;172;85,5721393034826;29;14,4278606965174;109;58;84;6576
2021-04-03;84287;191;165;86,3874345549738;26;13,6125654450262;99;60;78;5867
2021-04-04;99898;167;149;89,2215568862276;18;10,7784431137725;93;53;107;6539
2021-04-05;197427;285;252;88,421052631579;33;11,5789473684211;135;111;116;11799
2021-04-06;215778;288;253;87,8472222222222;35;12,1527777777778;145;103;122;11234
2021-04-07;192197;266;232;87,218045112782;34;12,781954887218;128;102;145;9931
2021-04-08;236021;266;223;83,8345864661654;43;16,1654135338346;145;73;158;11980
2021-04-09;191725;208;180;86,5384615384616;28;13,4615384615385;113;65;83;9767
2021-04-10;93365;155;133;85,8064516129032;22;14,1935483870968;87;45;94;5273
2021-04-11;163778;213;191;89,6713615023474;22;10,3286384976526;112;77;104;8786
2021-04-12;278071;307;272;88,599348534202;35;11,400651465798;151;118;170;13516
2021-04-13;226678;256;225;87,890625;31;12,109375;123;101;151;10593
2021-04-14;211998;250;209;83,6;41;16,4;130;78;154;10369
2021-04-15;255939;320;267;83,4375;53;16,5625;157;104;144;13373
2021-04-16;203960;249;200;80,3212851405623;49;19,6787148594378;110;88;135;10601
2021-04-17;77606;157;131;83,4394904458599;26;16,5605095541401;93;38;97;4665
2021-04-18;149919;265;247;93,2075471698113;18;6,79245283018868;155;89;152;7942
2021-04-19;286175;316;276;87,3417721518987;40;12,6582278481013;151;122;166;12103
2021-04-20;256935;293;262;89,419795221843;31;10,580204778157;147;110;144;11790
2021-04-21;272984;282;257;91,1347517730496;25;8,86524822695036;136;119;150;14054
2021-04-22;341166;262;239;91,2213740458015;23;8,77862595419847;114;123;124;16179
2021-04-23;301610;236;212;89,8305084745763;24;10,1694915254237;110;100;113;13703
2021-04-24;167452;197;168;85,2791878172589;29;14,7208121827411;90;77;118;8812
2021-04-25;203605;217;196;90,3225806451613;21;9,67741935483871;112;83;159;10438
2021-04-26;372740;389;366;94,0874035989717;23;5,91259640102828;180;182;207;16240
2021-04-27;296292;328;304;92,6829268292683;24;7,31707317073171;174;127;217;15004
2021-04-28;298816;316;288;91,1392405063291;28;8,86075949367089;174;112;194;15868
2021-04-29;416441;385;346;89,8701298701299;39;10,1298701298701;206;135;223;20214
2021-04-30;229858;260;231;88,8461538461539;29;11,1538461538462;123;104;154;12020
2021-05-01;188802;236;215;91,1016949152542;21;8,89830508474576;132;80;171;10771
2021-05-02;234629;270;245;90,7407407407407;25;9,25925925925926;168;71;266;13126
2021-05-03;371514;367;339;92,3705722070845;28;7,62942779291553;219;113;307;18806
2021-05-04;293652;372;348;93,5483870967742;24;6,45161290322581;243;99;299;16479
2021-05-05;332196;345;317;91,8840579710145;28;8,11594202898551;202;108;271;20008
2021-05-06;453950;356;326;91,5730337078652;30;8,42696629213483;203;119;265;24195
2021-05-07;412723;388;356;91,7525773195876;32;8,24742268041237;191;156;223;21735
2021-05-08;245456;265;248;93,5849056603774;17;6,41509433962264;160;83;187;15457
2021-05-09;274319;299;278;92,9765886287625;21;7,02341137123746;170;105;300;17846
