Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  15.960 (49);  16.769 (51);  32.729
10-19;  32.786 (49);  33.680 (51);  66.466
20-29;  39.652 (49);  41.340 (51);  80.992
30-39;  27.328 (50);  27.133 (50);  54.461
40-49;  28.259 (53);  25.434 (47);  53.693
50-59;  23.928 (51);  23.326 (49);  47.254
60-69;  12.120 (49);  12.719 (51);  24.839
70-79;   7.407 (49);   7.570 (51);  14.977
80-89;   4.026 (57);   3.054 (43);   7.080
90+;   1.474 (71);     615 (29);   2.089
I alt; 192.940 (50); 191.640 (50); 384.580
