Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 153.749 (49); 162.876 (51); 316.625
10-19; 233.964 (50); 233.836 (50); 467.800
20-29; 213.918 (53); 193.340 (47); 407.258
30-39; 210.382 (53); 184.616 (47); 394.998
40-49; 204.598 (53); 179.415 (47); 384.013
50-59; 157.584 (52); 145.790 (48); 303.374
60-69;  90.156 (51);  84.945 (49); 175.101
70-79;  47.847 (50);  48.284 (50);  96.131
80-89;  17.637 (54);  15.216 (46);  32.853
90+;   5.436 (69);   2.405 (31);   7.841
I alt;1.335.289 (52);1.250.748 (48);2.586.038
