Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.627.536; 158.091;   8.133;   1.358
Sjælland; 682.343;  43.372;   2.766;     410
Syddanmark;1.018.254;  47.534;   2.005;     228
Midtjylland;1.113.811;  61.626;   2.473;     366
Nordjylland; 513.182;  25.674;   1.059;     192
