Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  49.739 (49);  52.788 (51); 102.527
10-19;  84.166 (50);  82.701 (50); 166.867
20-29;  94.031 (50);  93.765 (50); 187.796
30-39;  70.690 (51);  67.342 (49); 138.032
40-49;  71.846 (52);  66.062 (48); 137.908
50-59;  56.846 (50);  57.492 (50); 114.338
60-69;  29.081 (49);  30.548 (51);  59.629
70-79;  16.590 (50);  16.718 (50);  33.308
80-89;   7.057 (55);   5.687 (45);  12.744
90+;   2.185 (68);   1.009 (32);   3.194
I alt; 482.231 (50); 474.112 (50); 956.343
