Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.604.800; 141.107;   7.724;   1.347
Sjælland; 672.339;  39.887;   2.662;     406
Syddanmark;1.002.393;  41.597;   1.865;     223
Midtjylland;1.095.129;  52.442;   2.307;     359
Nordjylland; 507.702;  22.087;   1.017;     191
